2026-07-16 17:04:19,927 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\database\library.sqlite3
2026-07-16 17:04:19,956 | INFO | main | Vinqelo Player iniciado
2026-07-16 17:05:28,261 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\database\library.sqlite3
2026-07-16 17:05:28,291 | INFO | main | Vinqelo Player iniciado
2026-07-16 17:05:42,062 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\database\library.sqlite3
2026-07-16 17:05:42,090 | INFO | main | Vinqelo Player iniciado
2026-07-16 17:08:35,152 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\database\library.sqlite3
2026-07-16 17:08:35,324 | INFO | __main__ | Vinqelo Player iniciado
2026-07-16 17:08:47,249 | INFO | ui.main_window | Carpeta seleccionada para futura importacion: C:\Users\IRQV8\Music\Ana Gabriel
2026-07-16 17:09:41,959 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\database\library.sqlite3
2026-07-16 17:09:42,125 | INFO | __main__ | Vinqelo Player iniciado
2026-07-16 17:17:23,048 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\database\library.sqlite3
2026-07-16 17:17:23,187 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-16 17:17:23,319 | INFO | __main__ | Vinqelo Player iniciado
2026-07-16 17:17:32,759 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Ana Gabriel/1 Clemencia.mp3
2026-07-17 11:07:52,766 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 11:07:53,663 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 11:07:54,146 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 13:34:10,771 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 13:34:11,106 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 13:34:11,227 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 13:50:18,777 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 13:50:19,045 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 13:50:19,233 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 13:50:32,863 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Ana Gabriel/1 Clemencia.mp3
2026-07-17 13:52:42,428 | INFO | ui.main_window | Carpeta seleccionada para futura importacion: C:\Users\IRQV8\Music\Ana Gabriel
2026-07-17 14:10:49,260 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 14:10:49,456 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 14:10:49,637 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 14:11:02,901 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Ana Gabriel/2 Un Viejo Amor.mp3
2026-07-17 14:14:06,201 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Argenis Carruyo/01 Argenis Carruyo - Mi Vecina.mp3
2026-07-17 14:14:36,637 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Camilo Sesto/13 Camilo Sesto - Piel de Angel.mp3
2026-07-17 14:16:05,301 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 14:16:05,495 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 14:16:05,676 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 14:16:19,776 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Carlos Vives/Clasicos de la provincia/Carlos Vives - Alicia adorada (Remastered 30 años).mp3
2026-07-17 14:21:54,213 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Binomio de Oro/Binomio de Oro - A Mano Dura.mp3
2026-07-17 14:24:51,320 | INFO | ui.main_window | Carpeta seleccionada para futura importacion: C:\Users\IRQV8\Music\Aventura
2026-07-17 14:25:09,154 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Carlos Vives/Clasicos de la provincia/Carlos Vives - La celosa (Remastered 30 años).mp3
2026-07-17 14:25:20,240 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 14:25:20,438 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 14:25:20,617 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 14:30:05,352 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Carlos Vives/Clasicos de la provincia/Carlos Vives - El cantor de Fonseca (Remastered 30 años).mp3
2026-07-17 14:33:47,546 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Bailables Billo Melodicos/Billo s Caracas Boys - Mi Cundé.mp3
2026-07-17 14:36:34,483 | INFO | ui.main_window | Abriendo archivo de audio: C:/Users/IRQV8/Music/Elvis Crespo/Luna Llena - Elvis Crespo.mp3
2026-07-17 14:38:11,219 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 14:38:11,405 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 14:38:11,639 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 14:38:18,415 | INFO | ui.main_window | Analizando biblioteca: C:\Users\IRQV8\Music
2026-07-17 14:59:02,801 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 14:59:02,996 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 14:59:04,753 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 15:04:23,860 | INFO | library.cover_art | Portada no disponible para un lanzamiento: Error transferring https://coverartarchive.org/release/bf62b0b4-3ce0-42d1-a167-5c91e8bbae3e/front-500 - server replied with status code 404
2026-07-17 15:07:04,006 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 15:07:04,195 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 15:07:05,984 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 15:21:49,168 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 15:21:49,366 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 15:21:53,772 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 15:28:05,646 | INFO | library.cover_art | Portada no disponible para un lanzamiento: Error transferring https://coverartarchive.org/release/75274e70-0727-4a9d-965b-d6c53d31444e/front-500 - server replied with status code 404
2026-07-17 15:29:07,489 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
2026-07-17 15:29:07,707 | INFO | player.controller | Motor VLC disponible: 3.0.23 Vetinari
2026-07-17 15:29:14,679 | INFO | __main__ | Vinqelo Player iniciado
2026-07-17 15:41:03,521 | INFO | database.manager | Base de datos preparada en C:\Users\IRQV8\Documents\VINQ\Vinqelo player\Vinqelo Player\database\library.sqlite3
